student_id,gender,major,admission_type,gpa_year1,gpa_year2,gpa_year3,gpa_year4,total_cumulative_gpa,total_credits_required,failed_courses,academic_warnings,attendance_rate,assignment_submission_rate,extra_activities,financial_state,graduate_on_time,graduate_year,achieved_scholarship
S01375,Female,Information Technology,EntranceExam,1.45,0.86,1.08,0.92,1.08,130,8,0,0.75,1,3,Average,0,7,0
S01376,Male,E-commerce,EntranceExam,3.12,3,2.91,3.85,3.22,125,0,0,0.85,0.74,0,Average,1,4,0
S01377,Female,Computer Science,EntranceExam,2.18,2.05,2.56,2.45,2.31,130,4,2,0.9,0.76,0,Average,0,6,0
S01378,Male,Marketing,EntranceExam,2.42,2.53,2.95,2.03,2.48,120,2,0,0.85,1,0,Difficult,0,5,0
S01379,Male,Information Technology,EntranceExam,2.17,2.51,2.05,2.43,2.29,130,2,0,0.9,0.77,0,Average,0,6,0
S01380,Female,Artificial Intelligence,DirectAdmission,3.38,3.55,3.73,3.94,3.65,130,0,0,0.9,0.84,1,Stable,1,4,0
S01381,Female,Multimedia Technology,EntranceExam,2.78,2.98,2.98,2.75,2.87,125,1,1,0.74,0.69,2,Stable,0,7,1
S01382,Female,Notary Relations,EntranceExam,2.93,3.19,2.82,2.33,2.82,125,0,0,0.87,0.9,4,Average,1,4,1
S01383,Female,Notary Relations,DirectAdmission,2.77,2.44,2.57,2.5,2.57,125,0,0,0.89,0.92,1,Stable,1,4,1
S01384,Female,Artificial Intelligence,DirectAdmission,2.13,2.45,2.35,2.23,2.29,130,1,0,0.85,0.97,2,Stable,1,4,1
S01385,Male,Game Design and Development,EntranceExam,2.43,2.55,1.78,1.85,2.15,140,0,0,0.93,0.81,0,Stable,0,7,0
S01386,Male,Multimedia Technology,DirectAdmission,2.56,2.14,2.23,2.34,2.32,125,0,0,0.86,0.96,0,Average,1,4,0
S01387,Male,Artificial Intelligence,EntranceExam,3.24,3.34,3.18,3.49,3.31,130,0,0,0.84,0.82,0,Average,1,4,1
S01388,Female,Financial Technology (Fintech),EntranceExam,2.11,2.12,2.52,2.24,2.25,130,3,0,0.77,0.8,1,Stable,0,5,1
S01389,Female,Journalism,EntranceExam,2.05,2.41,2.98,2.58,2.5,120,0,0,0.93,1,1,Stable,1,4,1
S01390,Male,Automation,EntranceExam,2.56,2.57,2.34,2.7,2.54,140,0,0,0.86,0.76,2,Average,1,4,0
S01391,Male,Multimedia Communication,EntranceExam,2.23,2.05,2.16,1.88,2.08,125,2,0,0.97,0.84,5,Stable,1,4,0
S01392,Female,Information Technology,EntranceExam,2.35,2.64,2.01,1.57,2.14,130,0,0,0.88,0.93,0,Stable,1,4,1
S01393,Female,Financial Technology (Fintech),EntranceExam,1.29,1.29,1.12,1.07,1.19,130,9,0,0.81,0.85,1,Stable,0,6,0
S01394,Female,Computer Science,EntranceExam,2.14,2.2,2.76,1.8,2.22,130,3,0,0.83,0.8,2,Stable,0,7,1
S01395,Female,Artificial Intelligence,EntranceExam,1.77,2.06,2.03,2.29,2.04,130,2,0,0.94,0.91,2,Stable,1,4,1
S01396,Male,Game Design and Development,EntranceExam,2.84,2.88,3.15,2.64,2.88,140,3,0,0.77,0.73,1,Difficult,0,5,0
S01397,Female,Information Technology,EntranceExam,1.84,1.93,1.96,1.59,1.83,130,8,0,0.97,0.69,1,Average,0,5,1
S01398,Female,Artificial Intelligence,DirectAdmission,1.97,2.74,2.66,2.22,2.4,130,1,0,0.92,0.86,3,Stable,1,4,1
S01399,Female,Information Technology,EntranceExam,1.8,1.82,2.45,2.03,2.02,130,3,0,0.98,1,5,Average,0,7,1
S01400,Female,Accounting,EntranceExam,2.35,3.09,3.19,2.95,2.89,130,0,0,0.91,0.98,2,Average,1,4,0
S01401,Female,Game Design and Development,DirectAdmission,2.42,2.62,2.72,3.5,2.82,140,0,0,1,0.71,4,Stable,1,4,1
S01402,Female,Computer Science,EntranceExam,2.24,2.36,1.9,1.88,2.09,130,3,0,0.83,0.77,2,Average,0,5,1
S01403,Male,Computer Science,EntranceExam,2.72,3.1,2.74,2.75,2.83,130,0,0,0.8,0.86,0,Average,1,4,0
S01404,Male,Artificial Intelligence,EntranceExam,1.14,1,1.59,1.47,1.3,130,4,0,0.81,0.79,1,Average,0,6,0
S01405,Male,Computer Science,DirectAdmission,3.46,2.94,3.11,3.57,3.27,130,0,0,0.94,0.9,3,Stable,1,4,1
S01406,Female,Business Administration,EntranceExam,2.19,2.66,3.02,2.23,2.52,120,2,0,0.78,0.69,0,Stable,0,5,1
S01407,Male,Notary Relations,EntranceExam,1.42,1.45,2.44,0.91,1.56,125,2,0,0.98,0.66,1,Average,0,6,0
S01408,Male,Marketing,EntranceExam,1.47,1.69,1.95,1.93,1.76,120,0,0,0.97,0.91,2,Stable,1,4,0
S01409,Male,Computer Science,EntranceExam,2.53,2.75,3.02,2.85,2.79,130,2,0,0.8,0.83,2,Stable,1,4,0
S01410,Female,Game Design and Development,EntranceExam,3.06,3.24,3.11,2.84,3.06,140,0,0,0.98,0.85,1,Average,1,4,0
S01411,Male,Information Technology,EntranceExam,1.61,2.31,2.18,2.63,2.18,130,4,1,0.86,0.94,1,Average,0,5,0
S01412,Female,Accounting,DirectAdmission,2.58,3.08,2.84,2.75,2.81,130,0,0,0.87,0.79,1,Average,1,4,1
S01413,Female,Information Technology,EntranceExam,2.92,2.98,3.33,3.19,3.1,130,0,0,0.81,0.64,2,Average,1,4,1
S01414,Female,Computer Science,DirectAdmission,2.11,2.11,2.56,2.2,2.24,130,3,0,0.85,0.73,0,Stable,0,6,0
S01415,Female,Computer Science,EntranceExam,2.62,2.85,3.17,2.98,2.9,130,1,0,0.85,0.69,3,Average,0,7,1
S01416,Female,Accounting,DirectAdmission,2.67,2.41,2.46,2.42,2.49,130,1,0,0.85,0.91,5,Stable,1,4,1
S01417,Male,Multimedia Communication,EntranceExam,2.71,3,3.29,2.44,2.86,125,0,0,0.89,0.97,1,Average,1,4,0
S01418,Female,Business Administration,EntranceExam,2.58,2.7,2.61,2.04,2.48,120,0,0,0.93,0.66,1,Stable,1,4,1
S01419,Male,Journalism,EntranceExam,2.22,2.41,2.48,2.43,2.39,120,1,0,0.95,0.92,1,Stable,1,4,0
S01420,Male,Artificial Intelligence,DirectAdmission,2.29,1.88,2.1,2.14,2.1,130,1,0,0.91,1,0,Average,0,5,0
S01421,Female,Artificial Intelligence,EntranceExam,3.16,2.8,2.62,2.98,2.89,130,0,0,0.81,0.74,3,Average,1,4,1
S01422,Male,Multimedia Technology,EntranceExam,3,2.85,2.65,2.6,2.78,125,4,0,0.72,0.7,0,Average,0,7,0
S01423,Male,Information Security,EntranceExam,2.87,3.27,2.6,3.38,3.03,130,0,0,0.96,0.92,0,Stable,1,4,1
S01424,Female,Information Technology,DirectAdmission,2.63,2.82,2.2,2.85,2.62,130,0,0,0.98,0.85,3,Average,1,4,1
S01425,Female,Information Technology,EntranceExam,2.88,2.2,3.26,2.63,2.74,130,0,0,0.99,0.95,1,Stable,1,4,1
S01426,Female,Marketing,EntranceExam,2,2.05,2.29,2.57,2.23,120,5,0,0.82,0.79,0,Difficult,0,7,1
S01427,Male,Financial Technology (Fintech),EntranceExam,2.59,2.32,2.58,3.35,2.71,130,1,0,0.84,0.9,2,Average,1,4,0
S01428,Female,Multimedia Communication,EntranceExam,2.48,3.13,2.67,2.58,2.72,125,0,0,0.8,0.8,1,Average,1,4,0
S01429,Female,Information Technology,DirectAdmission,2.77,2.54,2.53,2.61,2.61,130,0,0,0.89,0.77,4,Stable,1,4,1
S01430,Female,Artificial Intelligence,EntranceExam,2.01,1.89,2.3,2.51,2.18,130,4,0,0.86,0.82,2,Difficult,0,6,1
S01431,Female,Artificial Intelligence,EntranceExam,2.07,2.04,2.1,2.18,2.1,130,4,0,0.82,0.83,1,Average,0,5,1
S01432,Male,Multimedia Communication,EntranceExam,2.41,2.37,1.88,2.04,2.17,125,0,0,0.89,0.86,1,Stable,1,4,0
S01433,Female,Financial Technology (Fintech),EntranceExam,1.93,2.2,2.04,2.35,2.13,130,3,1,0.93,0.75,2,Stable,0,8,0
S01434,Female,Financial Technology (Fintech),EntranceExam,2.68,3.4,3.43,3.7,3.3,130,0,0,0.86,0.84,3,Difficult,1,4,0
S01435,Female,Information Security,EntranceExam,2.5,2.17,2.62,1.93,2.31,130,3,0,0.8,0.71,2,Stable,0,5,0
S01436,Male,Multimedia Communication,EntranceExam,1.46,1.49,1.44,1.54,1.48,125,7,0,0.79,1,2,Difficult,0,6,0
S01437,Male,E-commerce,DirectAdmission,2.89,3.17,3.08,3.03,3.04,125,0,0,0.8,0.77,1,Stable,1,4,0
S01438,Male,Financial Technology (Fintech),EntranceExam,2.15,2.14,2.51,2.41,2.3,130,0,0,0.86,0.7,0,Stable,1,4,0
S01439,Female,Artificial Intelligence,EntranceExam,1.61,2.89,2.95,2.89,2.58,130,4,0,0.77,0.66,1,Average,0,6,1
S01440,Male,Game Design and Development,EntranceExam,2.62,2.85,2.59,2.74,2.7,140,3,0,0.78,0.73,2,Difficult,0,7,0
S01441,Male,Automation,EntranceExam,2.15,2.24,2.18,1.84,2.1,140,2,0,0.74,0.76,3,Stable,0,6,0
S01442,Male,Notary Relations,DirectAdmission,1.21,1.73,2.53,2.6,2.02,125,1,0,0.8,0.78,1,Average,0,6,0
S01443,Male,Artificial Intelligence,DirectAdmission,2.77,2.14,2.45,2.84,2.55,130,1,0,0.97,0.94,2,Stable,1,4,0
S01444,Male,Information Security,EntranceExam,2.65,2.42,2.21,2.12,2.35,130,0,0,0.86,0.68,0,Stable,1,4,0
S01445,Female,Information Technology,EntranceExam,3.83,3.82,4,3.92,3.89,130,0,0,0.88,0.81,5,Stable,1,4,0
S01446,Female,Computer Science,EntranceExam,2.76,2.69,2.74,2.8,2.75,130,2,0,0.74,0.89,3,Average,0,8,1
S01447,Female,Multimedia Communication,EntranceExam,2.44,2.46,2,2.17,2.27,125,1,0,0.79,0.81,4,Difficult,0,5,1
S01448,Female,Information Technology,EntranceExam,2,2.4,2.44,2.15,2.25,130,5,0,0.85,0.69,2,Difficult,0,7,0
S01449,Female,Automation,EntranceExam,2.89,2.76,2.92,3.11,2.92,140,0,0,1,0.96,2,Average,1,4,0
S01450,Female,Accounting,EntranceExam,2.56,2.28,2.35,2.11,2.32,130,0,0,0.97,0.87,0,Stable,1,4,0
S01451,Male,Automation,EntranceExam,2.8,3.04,2.4,2.16,2.6,140,0,0,0.88,0.94,0,Stable,1,4,0
S01452,Male,Notary Relations,DirectAdmission,4,3.85,3.43,3.91,3.8,125,0,0,0.96,1,1,Average,1,4,1
S01453,Female,Information Security,EntranceExam,2.26,2.47,2,2.86,2.4,130,1,0,0.84,0.88,1,Stable,1,4,1
S01454,Male,Financial Technology (Fintech),EntranceExam,1.65,1.03,1.19,1.3,1.29,130,5,0,0.73,0.71,1,Average,0,5,0
S01455,Female,Artificial Intelligence,EntranceExam,1.84,2.3,1.83,1.78,1.94,130,4,0,0.79,0.96,2,Stable,0,6,0
S01456,Female,Artificial Intelligence,EntranceExam,3.73,3.69,3.34,3.25,3.5,130,0,0,0.83,0.88,1,Average,1,4,0
S01457,Male,Marketing,EntranceExam,2.98,2.87,2.72,2.68,2.81,120,0,0,0.87,0.78,0,Stable,1,4,0
S01458,Male,Computer Science,DirectAdmission,2.68,3.39,3.29,2.95,3.08,130,0,0,1,1,1,Average,1,4,1
S01459,Male,Information Technology,DirectAdmission,2.43,2.74,2.84,2.32,2.58,130,4,0,0.75,0.54,2,Stable,0,7,0
S01460,Female,Multimedia Technology,EntranceExam,1.76,2.32,2.31,1.97,2.09,125,8,0,0.93,0.97,3,Stable,0,6,1
S01461,Male,Computer Science,EntranceExam,1.72,1.58,2.05,2.45,1.95,130,4,0,0.8,0.7,0,Difficult,0,6,0
S01462,Female,Marketing,DirectAdmission,1.79,2.34,1.79,1.44,1.84,120,10,0,0.92,0.77,1,Stable,0,6,1
S01463,Female,Financial Technology (Fintech),EntranceExam,2.55,2.64,3.03,3.72,2.98,130,1,0,0.85,0.63,3,Average,1,4,1
S01464,Male,Journalism,EntranceExam,3.12,3.27,3.79,3.01,3.3,120,0,0,0.88,0.9,3,Average,1,4,1
S01465,Male,Information Security,EntranceExam,1.96,1.88,1.75,2.15,1.94,130,1,0,0.93,0.8,0,Stable,1,4,0
S01466,Female,Financial Technology (Fintech),EntranceExam,2.21,2.26,2.51,1.91,2.22,130,1,0,0.93,0.8,1,Stable,1,4,1
S01467,Male,Accounting,DirectAdmission,2.45,2.51,2.46,2.93,2.59,130,1,0,0.89,0.85,1,Stable,1,4,0
S01468,Female,Notary Relations,EntranceExam,3.46,3.07,3.23,2.99,3.19,125,1,0,0.87,0.7,4,Average,1,4,0
S01469,Female,Multimedia Technology,DirectAdmission,1.86,2.24,2.22,2.34,2.16,125,3,0,0.7,0.88,1,Stable,0,5,1
S01470,Male,Information Technology,EntranceExam,2.22,1.87,2.48,1.67,2.06,130,0,0,0.81,0.57,1,Stable,0,5,0
S01471,Female,Information Technology,EntranceExam,1.41,2.51,1.42,1.96,1.82,130,6,0,0.81,1,1,Average,0,6,1
S01472,Male,E-commerce,EntranceExam,2.37,2.37,2.73,2.21,2.42,125,2,0,0.93,0.96,1,Average,0,5,0
S01473,Female,E-commerce,EntranceExam,2.71,2.46,2.94,2.88,2.75,125,0,0,0.89,1,1,Stable,1,4,1
S01474,Female,Information Technology,EntranceExam,2.67,2.08,2.18,2.02,2.24,130,0,0,0.83,1,1,Average,0,7,1
S01475,Female,Information Security,EntranceExam,2.11,2.23,2.77,2.19,2.32,130,2,0,0.84,0.77,3,Average,0,5,1
S01476,Female,Artificial Intelligence,EntranceExam,2.82,2.58,2.54,3.04,2.74,130,0,0,0.84,1,0,Average,1,4,1
S01477,Female,Financial Technology (Fintech),EntranceExam,1.83,2.05,1.79,1.3,1.74,130,4,1,0.72,0.67,1,Stable,0,5,0
S01478,Female,Notary Relations,EntranceExam,2.55,2.51,2.17,3.02,2.56,125,1,0,0.91,0.83,2,Stable,1,4,1
S01479,Female,Information Technology,DirectAdmission,2.63,2.93,2.45,2.7,2.68,130,0,0,0.92,0.78,2,Average,1,4,1
S01480,Male,Notary Relations,DirectAdmission,2.16,2.14,2.63,1.99,2.23,125,3,0,0.83,0.67,1,Average,0,7,0
S01481,Male,Information Technology,EntranceExam,2.54,2.56,2.84,2.9,2.71,130,0,0,0.92,0.73,2,Stable,1,4,0
S01482,Female,Multimedia Technology,EntranceExam,1.98,2.26,2.63,1.94,2.2,125,5,0,0.84,0.83,1,Stable,0,7,1
S01483,Female,Accounting,EntranceExam,2.38,2.54,2.51,2.58,2.5,130,5,1,0.94,0.86,2,Difficult,0,6,1
S01484,Female,Automation,EntranceExam,2.69,3.35,3.12,3.34,3.12,140,0,0,1,0.82,4,Average,1,4,1
S01485,Male,Automation,DirectAdmission,3.17,2.99,3.47,3.06,3.17,140,0,0,0.88,0.7,3,Stable,1,4,1
S01486,Male,Information Technology,EntranceExam,2.97,3.15,3.61,3.03,3.19,130,0,0,0.81,0.77,2,Stable,1,4,1
S01487,Male,Business Administration,EntranceExam,2.37,1.88,2,1.84,2.02,120,4,0,0.94,0.71,1,Stable,0,5,0
S01488,Male,Information Technology,EntranceExam,1.9,1.91,2.31,2.08,2.05,130,2,1,0.9,0.73,4,Average,0,5,0
S01489,Male,Information Technology,EntranceExam,3,3.01,2.75,3.04,2.95,130,1,0,0.98,0.94,3,Stable,1,4,1
S01490,Male,Business Administration,EntranceExam,3.04,2.61,3.3,3.06,3,120,0,0,0.81,0.83,2,Stable,1,4,0
S01491,Female,Artificial Intelligence,EntranceExam,2.47,2.83,3.4,2.83,2.88,130,1,0,0.84,1,2,Stable,1,4,1
S01492,Female,Game Design and Development,EntranceExam,1.25,1.11,0.97,0.6,0.98,140,6,1,0.9,0.72,1,Average,0,7,1
S01493,Female,Information Technology,DirectAdmission,1.95,2.39,2.23,2.04,2.15,130,3,0,0.81,0.76,0,Average,0,5,1
S01494,Female,Artificial Intelligence,EntranceExam,2.51,2.43,2.37,2.03,2.34,130,4,0,0.69,0.7,5,Average,0,6,1
S01495,Female,Financial Technology (Fintech),EntranceExam,2.21,1.99,2.39,2.14,2.18,130,2,0,0.81,0.8,2,Stable,1,4,1
S01496,Female,E-commerce,EntranceExam,2.35,2.37,2.9,2.86,2.62,125,0,0,0.8,0.76,2,Stable,1,4,1
S01497,Male,Computer Science,DirectAdmission,3.01,3.4,3.21,2.9,3.13,130,1,0,0.89,0.89,0,Average,1,4,1
S01498,Female,Accounting,DirectAdmission,2.09,1.83,2.05,2.04,2,130,2,0,0.75,0.82,4,Average,0,6,0
S01499,Female,Business Administration,EntranceExam,2.94,2.42,3.18,2.66,2.8,120,0,1,0.91,0.88,1,Average,1,4,1
S01500,Male,Business Administration,EntranceExam,2.53,2.36,2.03,2.22,2.28,120,4,0,0.79,0.94,1,Average,0,5,0
S01501,Female,Computer Science,EntranceExam,2.43,2.1,2.07,2.34,2.24,130,0,0,0.82,0.76,2,Stable,1,4,1
S01502,Male,Journalism,EntranceExam,2.13,2.45,2.3,2.44,2.33,120,2,0,0.82,0.86,1,Stable,1,4,0
S01503,Female,Computer Science,EntranceExam,2.42,1.94,1.78,2.21,2.09,130,2,1,0.87,0.96,1,Average,0,5,1
S01504,Male,Automation,EntranceExam,2.16,2.37,2.52,2.53,2.4,140,2,1,0.81,0.82,0,Average,0,6,0
S01505,Female,Computer Science,EntranceExam,2.27,2.18,1.87,1.72,2.01,130,3,0,0.77,0.91,2,Average,0,7,0
S01506,Male,E-commerce,DirectAdmission,2.28,1.8,2.4,1.8,2.07,125,2,0,0.84,0.83,1,Average,0,5,0
S01507,Male,Multimedia Technology,DirectAdmission,2.77,2.99,3.42,2.71,2.97,125,0,0,0.83,0.8,0,Average,1,4,0
S01508,Female,Marketing,EntranceExam,2.34,2.66,3.6,2.75,2.84,120,0,0,0.88,0.85,0,Average,1,4,1
S01509,Male,Computer Science,EntranceExam,3.17,3.28,3.22,3.63,3.32,130,0,0,1,0.82,4,Stable,1,4,1
S01510,Female,Automation,EntranceExam,1.7,1.75,1.52,1.35,1.58,140,3,1,0.86,0.9,2,Stable,0,6,1
S01511,Male,Artificial Intelligence,DirectAdmission,2.35,2.38,1.87,2.23,2.21,130,3,0,0.9,0.99,0,Stable,0,6,0
S01512,Female,Computer Science,EntranceExam,3.22,3.07,2.81,3.31,3.1,130,0,1,0.83,0.88,4,Stable,1,4,0
S01513,Male,Business Administration,DirectAdmission,3.07,3.44,3.63,3.68,3.46,120,0,0,0.86,0.75,2,Average,1,4,1
S01514,Male,Information Technology,EntranceExam,3.19,2.18,3,2.47,2.71,130,1,0,0.83,0.85,0,Average,1,4,0
S01515,Female,Financial Technology (Fintech),EntranceExam,2.71,1.68,2.3,2.28,2.24,130,0,0,0.78,0.83,2,Difficult,0,5,1
S01516,Female,Automation,EntranceExam,2.48,2.51,2.7,2.38,2.52,140,2,0,0.75,0.74,2,Stable,0,5,1
S01517,Female,Multimedia Technology,EntranceExam,1.97,2.08,2.72,2.48,2.31,125,2,1,0.67,0.6,0,Average,0,5,0
S01518,Female,Game Design and Development,EntranceExam,2.24,2.09,2.48,2.54,2.34,140,2,1,0.87,0.87,0,Average,0,7,1
S01519,Female,Multimedia Technology,DirectAdmission,2.12,2.12,1.83,2.04,2.03,125,0,0,0.93,0.88,1,Average,1,4,0
S01520,Male,Automation,EntranceExam,2.15,2.75,3.02,2.54,2.62,140,0,0,0.87,0.93,1,Stable,1,4,0
S01521,Male,Information Technology,EntranceExam,2.51,2.36,2.8,2.66,2.58,130,0,0,0.86,0.78,4,Difficult,0,6,0
S01522,Female,Computer Science,EntranceExam,2.86,3.03,3.01,2.9,2.95,130,0,0,0.82,0.92,4,Stable,1,4,1
S01523,Female,Artificial Intelligence,EntranceExam,2.11,2.1,2.55,2.23,2.25,130,3,0,0.94,0.89,1,Stable,1,4,1
S01524,Female,Business Administration,EntranceExam,2.52,2.19,2.43,2.35,2.37,120,1,0,0.94,0.91,1,Stable,1,4,1
S01525,Female,Artificial Intelligence,EntranceExam,2.06,1.77,2.86,2.24,2.23,130,0,0,0.93,0.88,5,Stable,1,4,1
S01526,Male,Accounting,EntranceExam,2.1,2.13,2.11,1.91,2.06,130,3,0,0.79,0.89,0,Average,0,7,0
S01527,Male,Multimedia Technology,EntranceExam,2.58,2.32,2.73,2.23,2.47,125,0,0,0.88,0.98,0,Stable,1,4,0
S01528,Female,Game Design and Development,EntranceExam,2.55,2.77,2.52,3.24,2.77,140,2,0,0.87,0.85,2,Average,1,4,1
S01529,Female,Game Design and Development,EntranceExam,3.87,3.55,4,4,3.86,140,0,0,0.94,0.74,1,Difficult,1,4,0
S01530,Male,Computer Science,EntranceExam,2.45,2.04,2.89,2.96,2.58,130,1,0,0.84,0.8,1,Average,1,4,0
S01531,Male,Computer Science,EntranceExam,2.65,2.97,2.47,2.65,2.68,130,0,0,0.92,0.77,2,Stable,1,4,0
S01532,Male,Marketing,EntranceExam,3.22,3.08,2.85,2.57,2.93,120,3,0,0.78,0.92,0,Difficult,0,6,0
S01533,Female,Accounting,EntranceExam,2.97,3.38,2.96,2.77,3.02,130,0,0,0.89,0.94,0,Average,1,4,0
S01534,Male,Computer Science,EntranceExam,2.73,2.3,2.92,2.82,2.69,130,0,0,0.99,0.91,1,Stable,1,4,0
S01535,Male,Financial Technology (Fintech),EntranceExam,2.59,2.77,3.03,2.32,2.68,130,0,0,0.86,0.81,3,Average,1,4,0
S01536,Female,Artificial Intelligence,EntranceExam,2.09,1.83,2.32,2.03,2.07,130,3,0,0.97,0.76,1,Stable,1,4,1
S01537,Female,Information Security,EntranceExam,1.78,2.18,1.22,1.66,1.71,130,4,0,0.92,0.87,3,Stable,0,6,1
S01538,Female,Game Design and Development,EntranceExam,3.85,3.9,3.65,4,3.85,140,0,0,0.85,0.81,4,Average,1,4,1
S01539,Male,Journalism,EntranceExam,1.86,2.1,1.54,2.36,1.96,120,3,0,0.87,0.76,1,Stable,1,4,0
S01540,Female,Information Technology,EntranceExam,2.33,2.67,2.68,2.51,2.55,130,2,0,0.84,0.99,2,Stable,1,4,1
S01541,Male,Multimedia Communication,EntranceExam,2.15,3.05,2.92,2.71,2.71,125,1,0,0.86,0.61,1,Average,1,4,0
S01542,Male,Computer Science,DirectAdmission,3.31,3.24,3.77,2.6,3.23,130,0,0,0.84,0.86,0,Difficult,1,4,1
S01543,Female,Business Administration,EntranceExam,1.4,1.72,2.03,1.95,1.78,120,5,1,0.89,0.84,1,Stable,0,5,1
S01544,Male,Multimedia Technology,EntranceExam,3.03,3.04,2.5,2.84,2.85,125,1,0,0.96,0.77,2,Stable,1,4,0
S01545,Male,E-commerce,EntranceExam,2.83,3.04,2.75,2.5,2.78,125,1,0,0.96,0.87,1,Stable,1,4,0
S01546,Female,Business Administration,EntranceExam,3.14,3.69,3.37,3.41,3.4,120,0,0,0.86,0.8,2,Stable,1,4,0
S01547,Male,Automation,EntranceExam,1.82,2.77,2.76,2.62,2.49,140,0,0,0.78,0.63,1,Stable,0,5,0
S01548,Male,Financial Technology (Fintech),EntranceExam,2.35,2.21,2.31,2.49,2.34,130,1,0,0.87,0.8,5,Average,0,6,0
S01549,Male,Information Technology,EntranceExam,2.37,2.75,2.45,3.7,2.82,130,0,0,0.98,0.86,1,Stable,1,4,0
S01550,Female,Information Security,EntranceExam,1.98,2.22,2.64,2.53,2.34,130,1,0,0.93,1,1,Stable,1,4,1
S01551,Male,Multimedia Communication,DirectAdmission,3.21,3.46,3.23,3.33,3.31,125,0,0,0.81,0.85,3,Average,1,4,1
S01552,Female,Artificial Intelligence,EntranceExam,2.9,2.92,3.57,3.58,3.24,130,0,1,0.94,0.89,2,Stable,1,4,0
S01553,Female,Financial Technology (Fintech),DirectAdmission,2.43,2.63,2.86,3.03,2.74,130,0,0,0.96,0.76,1,Stable,1,4,1
S01554,Male,Information Technology,EntranceExam,2.05,2.2,2.68,2.44,2.34,130,0,0,0.93,0.87,0,Stable,1,4,0
S01555,Female,Information Technology,EntranceExam,2.69,2.8,2.4,2.29,2.54,130,0,0,0.87,0.95,0,Stable,1,4,0
S01556,Male,Financial Technology (Fintech),EntranceExam,1.74,1.67,1.66,1.56,1.66,130,6,0,0.96,0.82,1,Stable,0,7,0
S01557,Female,Automation,DirectAdmission,2.16,1.63,1.64,2,1.86,140,4,0,0.89,0.99,3,Difficult,0,5,1
S01558,Female,Multimedia Communication,EntranceExam,2.72,2.71,2.48,2.94,2.71,125,0,0,0.83,0.72,3,Stable,1,4,1
S01559,Male,Automation,EntranceExam,2.54,2.46,2.67,2.26,2.48,140,2,1,0.96,0.89,3,Average,0,7,0
S01560,Male,Financial Technology (Fintech),EntranceExam,2.86,2.76,2.61,2,2.56,130,0,0,0.91,0.79,0,Stable,1,4,0
S01561,Male,Journalism,EntranceExam,1.65,1.28,2.01,1.65,1.65,120,6,1,0.77,0.93,0,Stable,0,7,0
S01562,Male,Automation,EntranceExam,2.82,2.16,2.74,2.66,2.6,140,0,0,0.9,0.94,1,Average,1,4,0
S01563,Female,E-commerce,EntranceExam,2.62,2.61,2.55,2.88,2.66,125,0,0,0.87,0.89,1,Average,1,4,1
S01564,Male,E-commerce,EntranceExam,2.73,3.14,2.77,3.18,2.96,125,1,0,0.91,1,3,Stable,1,4,1
S01565,Female,Game Design and Development,EntranceExam,2.55,2.31,2.29,2.58,2.43,140,2,0,0.97,0.8,1,Stable,1,4,1
S01566,Female,Information Technology,EntranceExam,1.64,1.65,2.06,2.45,1.95,130,7,0,0.78,0.88,1,Average,0,7,0
S01567,Male,Information Security,DirectAdmission,3.17,3.52,3.36,3.77,3.45,130,0,0,0.81,0.77,1,Average,1,4,1
S01568,Male,Computer Science,EntranceExam,1.88,1.56,1.62,1.6,1.66,130,9,0,0.79,0.65,4,Difficult,0,6,0
S01569,Male,E-commerce,EntranceExam,2.68,2.87,2.85,2.96,2.84,125,1,0,0.68,0.52,1,Average,0,5,0
S01570,Female,Artificial Intelligence,EntranceExam,2.43,3.08,3.11,2.75,2.84,130,0,0,0.99,0.8,1,Average,1,4,0
S01571,Male,Journalism,EntranceExam,1.89,2.57,1.49,1.85,1.95,120,4,0,0.96,0.83,0,Average,0,5,0
S01572,Female,Multimedia Communication,EntranceExam,2.32,2.52,2.49,2.65,2.5,125,5,0,0.89,0.92,0,Stable,0,5,1
S01573,Male,Artificial Intelligence,EntranceExam,3.32,3.25,3.46,2.92,3.24,130,1,0,0.86,0.83,2,Stable,1,4,1
S01574,Female,Multimedia Communication,EntranceExam,2.92,2.68,2.45,2.68,2.68,125,1,0,0.99,0.68,1,Stable,1,4,1
S01575,Male,E-commerce,DirectAdmission,1.97,2.46,2.24,2.39,2.26,125,1,0,0.77,0.79,3,Stable,0,7,0
S01576,Female,Computer Science,EntranceExam,2.38,3.08,2.91,2.93,2.82,130,0,0,0.85,0.82,1,Stable,1,4,1
S01577,Female,Multimedia Technology,EntranceExam,1.42,1.93,1.1,1.78,1.56,125,8,1,0.87,0.87,2,Average,0,5,0
S01578,Male,Marketing,EntranceExam,2.94,3.25,3.04,3.3,3.13,120,0,0,0.81,0.66,0,Stable,1,4,1
S01579,Female,Computer Science,EntranceExam,2.54,2.53,2.38,2.45,2.48,130,1,0,0.85,0.88,1,Stable,1,4,1
S01580,Female,Game Design and Development,EntranceExam,2.62,2.3,1.7,2.01,2.16,140,1,0,0.88,0.88,0,Stable,1,4,1
S01581,Male,Automation,EntranceExam,3.58,3.87,4,4,3.86,140,1,0,1,0.78,0,Stable,1,4,1
S01582,Male,Information Technology,EntranceExam,1.5,2.61,2.5,2.7,2.33,130,4,0,0.84,0.77,0,Stable,0,6,0
